Metric,Value,Unit
Design Name,Design A,
Design Tag,Optimal (Lightest),
Length,192,in
Beam,32,in
Depth,17,in
Thickness,0.5,in
Concrete Density,60.0,PCF
Shell Weight,163.11,lbs
Reinforcement Weight,8.16,lbs
Finish Weight,3.00,lbs
Total Canoe Weight,174.26,lbs
Crew Weight,700,lbs
Loaded Weight,874.26,lbs
Displacement Volume,14.0107,ft3
Waterplane Area,29.8667,ft2
Draft,5.63,in
Freeboard,11.37,in
KB,2.81,in
BM,15.16,in
KG,9.29,in
GM,8.68,in
Max Bending Moment,3148.53,lb-ft
Section Modulus,58.00,in3
Bending Stress,651.45,psi
Safety Factor,2.3026,
Shell Volume,2.7185,ft3
Batches Needed,6,
Mesh Area,75.03,ft2
Mold Size (L×W),17.0 × 3.7,ft
Est. Total Cost,741.98,$
Freeboard Pass,True,
GM Pass,True,
SF Pass,True,
Overall Pass,True,
