iteration,weight_lbs,freeboard_in,gm_in,safety_factor
1,203.08,11.53,10.69,106.40
2,188.81,11.19,9.95,106.23
3,180.87,11.06,9.69,97.57
4,175.38,10.14,8.23,89.31
5,184.08,10.64,8.94,79.84
6,178.92,11.46,10.53,115.76
7,204.33,10.53,8.77,96.70
8,192.13,11.46,10.52,103.86
9,187.80,10.39,8.57,100.88
10,169.50,11.17,9.90,118.38
11,192.34,10.85,9.30,85.21
12,173.58,10.39,8.57,87.85
13,212.31,11.21,9.98,99.06
14,147.21,11.71,11.12,108.16
15,186.66,11.09,9.75,114.19
16,172.74,10.52,8.75,95.06
17,155.00,11.70,11.11,116.12
18,168.54,12.16,12.39,104.18
19,161.25,11.22,9.99,115.93
20,168.92,10.75,9.12,87.91
21,196.43,10.28,8.41,93.97
22,162.62,11.21,9.99,112.11
23,174.42,11.11,9.78,121.35
24,196.14,10.31,8.44,80.64
25,198.38,11.55,10.73,79.73
26,182.73,11.04,9.65,107.25
27,165.02,10.92,9.43,122.16
28,179.58,10.71,9.07,112.43
29,179.31,11.11,9.79,108.76
30,154.51,11.06,9.69,101.36
31,164.84,12.04,12.03,137.28
32,158.90,11.32,10.21,100.98
33,180.98,10.70,9.05,104.43
34,175.71,11.34,10.25,116.27
35,172.69,10.92,9.43,114.88
36,189.12,10.65,8.96,125.22
37,154.84,11.21,9.99,113.89
38,134.86,11.14,9.84,102.83
39,166.48,11.39,10.37,111.78
40,194.06,10.89,9.36,84.18
41,210.49,10.43,8.63,88.25
42,167.81,10.92,9.42,99.49
43,191.64,11.06,9.69,99.75
44,171.04,10.87,9.33,104.19
45,158.87,10.75,9.12,92.46
46,182.69,11.73,11.18,132.14
47,181.23,10.41,8.59,95.07
48,154.89,11.21,9.99,109.66
49,202.93,10.56,8.82,93.69
50,180.72,10.39,8.57,95.94
51,166.15,11.56,10.77,125.80
52,177.62,11.21,9.98,99.01
53,176.64,11.04,9.65,98.36
54,184.10,11.20,9.95,104.95
55,173.18,10.22,8.33,80.63
56,170.20,11.32,10.22,102.17
57,166.66,11.22,10.01,103.73
58,191.39,10.73,9.10,108.43
59,186.57,11.35,10.28,113.98
60,175.96,11.09,9.74,108.79
61,183.06,10.74,9.12,108.65
62,124.34,11.42,10.44,113.20
63,183.38,10.91,9.41,106.68
64,136.01,11.42,10.44,112.85
65,174.76,11.56,10.77,119.10
