# NAU Concrete Canoe 2026 — Design A CNC Coordinates
# Design A — Optimal (Lightest)
# Hull: 192" × 32" × 17", thickness 0.5"
# Stations every 6.0" (33 stations)
# Format: Station_Number, Position_in, X_coord, Y_coord
# Cross-section: V-bottom, deadrise=15°, depth=17"
# Origin: keel centerline at bottom

Station, Pos(in), X(in), Y(in)
# --- Station 0 at 0" (beam=0.0") ---
0, 0.0, 0.000, 0.000
# --- Station 1 at 6" (beam=3.1") ---
1, 6.0, -1.568, 0.420
1, 6.0, -1.411, 0.378
1, 6.0, -1.255, 0.336
1, 6.0, -1.098, 0.294
1, 6.0, -0.941, 0.252
1, 6.0, -0.784, 0.210
1, 6.0, -0.627, 0.168
1, 6.0, -0.470, 0.126
1, 6.0, -0.314, 0.084
1, 6.0, -0.157, 0.042
1, 6.0, 0.000, 0.000
1, 6.0, 0.157, 0.042
1, 6.0, 0.314, 0.084
1, 6.0, 0.470, 0.126
1, 6.0, 0.627, 0.168
1, 6.0, 0.784, 0.210
1, 6.0, 0.941, 0.252
1, 6.0, 1.098, 0.294
1, 6.0, 1.255, 0.336
1, 6.0, 1.411, 0.378
1, 6.0, 1.568, 0.420
1, 6.0, 1.568, 17.000
1, 6.0, -1.568, 17.000
# --- Station 2 at 12" (beam=6.2") ---
2, 12.0, -3.121, 0.836
2, 12.0, -2.809, 0.753
2, 12.0, -2.497, 0.669
2, 12.0, -2.185, 0.585
2, 12.0, -1.873, 0.502
2, 12.0, -1.561, 0.418
2, 12.0, -1.249, 0.335
2, 12.0, -0.936, 0.251
2, 12.0, -0.624, 0.167
2, 12.0, -0.312, 0.084
2, 12.0, 0.000, 0.000
2, 12.0, 0.312, 0.084
2, 12.0, 0.624, 0.167
2, 12.0, 0.936, 0.251
2, 12.0, 1.249, 0.335
2, 12.0, 1.561, 0.418
2, 12.0, 1.873, 0.502
2, 12.0, 2.185, 0.585
2, 12.0, 2.497, 0.669
2, 12.0, 2.809, 0.753
2, 12.0, 3.121, 0.836
2, 12.0, 3.121, 17.000
2, 12.0, -3.121, 17.000
# --- Station 3 at 18" (beam=9.3") ---
3, 18.0, -4.645, 1.245
3, 18.0, -4.180, 1.120
3, 18.0, -3.716, 0.996
3, 18.0, -3.251, 0.871
3, 18.0, -2.787, 0.747
3, 18.0, -2.322, 0.622
3, 18.0, -1.858, 0.498
3, 18.0, -1.393, 0.373
3, 18.0, -0.929, 0.249
3, 18.0, -0.464, 0.124
3, 18.0, 0.000, 0.000
3, 18.0, 0.464, 0.124
3, 18.0, 0.929, 0.249
3, 18.0, 1.393, 0.373
3, 18.0, 1.858, 0.498
3, 18.0, 2.322, 0.622
3, 18.0, 2.787, 0.747
3, 18.0, 3.251, 0.871
3, 18.0, 3.716, 0.996
3, 18.0, 4.180, 1.120
3, 18.0, 4.645, 1.245
3, 18.0, 4.645, 17.000
3, 18.0, -4.645, 17.000
# --- Station 4 at 24" (beam=12.2") ---
