# NAU Concrete Canoe 2026 — Design B CNC Coordinates
# Design B — Conservative (Extra Margin)
# Hull: 196" × 34" × 18", thickness 0.5"
# Stations every 6.0" (33 stations)
# Format: Station_Number, Position_in, X_coord, Y_coord
# Cross-section: V-bottom, deadrise=15°, depth=18"
# Origin: keel centerline at bottom

Station, Pos(in), X(in), Y(in)
# --- Station 0 at 0" (beam=0.0") ---
0, 0.0, 0.000, 0.000
# --- Station 1 at 6" (beam=3.3") ---
1, 6.0, -1.632, 0.437
1, 6.0, -1.469, 0.394
1, 6.0, -1.306, 0.350
1, 6.0, -1.143, 0.306
1, 6.0, -0.979, 0.262
1, 6.0, -0.816, 0.219
1, 6.0, -0.653, 0.175
1, 6.0, -0.490, 0.131
1, 6.0, -0.326, 0.087
1, 6.0, -0.163, 0.044
1, 6.0, -0.000, 0.000
1, 6.0, 0.163, 0.044
1, 6.0, 0.326, 0.087
1, 6.0, 0.490, 0.131
1, 6.0, 0.653, 0.175
1, 6.0, 0.816, 0.219
1, 6.0, 0.979, 0.262
1, 6.0, 1.143, 0.306
1, 6.0, 1.306, 0.350
1, 6.0, 1.469, 0.394
1, 6.0, 1.632, 0.437
1, 6.0, 1.632, 18.000
1, 6.0, -1.632, 18.000
# --- Station 2 at 12" (beam=6.5") ---
2, 12.0, -3.250, 0.871
2, 12.0, -2.925, 0.784
2, 12.0, -2.600, 0.697
2, 12.0, -2.275, 0.610
2, 12.0, -1.950, 0.522
2, 12.0, -1.625, 0.435
2, 12.0, -1.300, 0.348
2, 12.0, -0.975, 0.261
2, 12.0, -0.650, 0.174
2, 12.0, -0.325, 0.087
2, 12.0, 0.000, 0.000
2, 12.0, 0.325, 0.087
2, 12.0, 0.650, 0.174
2, 12.0, 0.975, 0.261
2, 12.0, 1.300, 0.348
2, 12.0, 1.625, 0.435
2, 12.0, 1.950, 0.522
2, 12.0, 2.275, 0.610
2, 12.0, 2.600, 0.697
2, 12.0, 2.925, 0.784
2, 12.0, 3.250, 0.871
2, 12.0, 3.250, 18.000
2, 12.0, -3.250, 18.000
# --- Station 3 at 18" (beam=9.7") ---
3, 18.0, -4.837, 1.296
3, 18.0, -4.353, 1.166
3, 18.0, -3.870, 1.037
3, 18.0, -3.386, 0.907
3, 18.0, -2.902, 0.778
3, 18.0, -2.418, 0.648
3, 18.0, -1.935, 0.518
3, 18.0, -1.451, 0.389
3, 18.0, -0.967, 0.259
3, 18.0, -0.484, 0.130
3, 18.0, 0.000, 0.000
3, 18.0, 0.484, 0.130
3, 18.0, 0.967, 0.259
3, 18.0, 1.451, 0.389
3, 18.0, 1.935, 0.518
3, 18.0, 2.418, 0.648
3, 18.0, 2.902, 0.778
3, 18.0, 3.386, 0.907
3, 18.0, 3.870, 1.037
3, 18.0, 4.353, 1.166
3, 18.0, 4.837, 1.296
3, 18.0, 4.837, 18.000
3, 18.0, -4.837, 18.000
# --- Station 4 at 24" (beam=12.8") ---
