# NAU Concrete Canoe 2026 — Design C CNC Coordinates
# Design C — Long & Stable (Speed)
# Hull: 216" × 36" × 18", thickness 0.5"
# Stations every 6.0" (37 stations)
# Format: Station_Number, Position_in, X_coord, Y_coord
# Cross-section: V-bottom, deadrise=15°, depth=18"
# Origin: keel centerline at bottom

Station, Pos(in), X(in), Y(in)
# --- Station 0 at 0" (beam=0.0") ---
0, 0.0, 0.000, 0.000
# --- Station 1 at 6" (beam=3.1") ---
1, 6.0, -1.569, 0.420
1, 6.0, -1.412, 0.378
1, 6.0, -1.255, 0.336
1, 6.0, -1.098, 0.294
1, 6.0, -0.941, 0.252
1, 6.0, -0.784, 0.210
1, 6.0, -0.628, 0.168
1, 6.0, -0.471, 0.126
1, 6.0, -0.314, 0.084
1, 6.0, -0.157, 0.042
1, 6.0, 0.000, 0.000
1, 6.0, 0.157, 0.042
1, 6.0, 0.314, 0.084
1, 6.0, 0.471, 0.126
1, 6.0, 0.628, 0.168
1, 6.0, 0.784, 0.210
1, 6.0, 0.941, 0.252
1, 6.0, 1.098, 0.294
1, 6.0, 1.255, 0.336
1, 6.0, 1.412, 0.378
1, 6.0, 1.569, 0.420
1, 6.0, 1.569, 18.000
1, 6.0, -1.569, 18.000
# --- Station 2 at 12" (beam=6.3") ---
2, 12.0, -3.126, 0.838
2, 12.0, -2.813, 0.754
2, 12.0, -2.501, 0.670
2, 12.0, -2.188, 0.586
2, 12.0, -1.875, 0.503
2, 12.0, -1.563, 0.419
2, 12.0, -1.250, 0.335
2, 12.0, -0.938, 0.251
2, 12.0, -0.625, 0.168
2, 12.0, -0.313, 0.084
2, 12.0, 0.000, 0.000
2, 12.0, 0.313, 0.084
2, 12.0, 0.625, 0.168
2, 12.0, 0.938, 0.251
2, 12.0, 1.250, 0.335
2, 12.0, 1.563, 0.419
2, 12.0, 1.875, 0.503
2, 12.0, 2.188, 0.586
2, 12.0, 2.501, 0.670
2, 12.0, 2.813, 0.754
2, 12.0, 3.126, 0.838
2, 12.0, 3.126, 18.000
2, 12.0, -3.126, 18.000
# --- Station 3 at 18" (beam=9.3") ---
3, 18.0, -4.659, 1.248
3, 18.0, -4.193, 1.123
3, 18.0, -3.727, 0.999
3, 18.0, -3.261, 0.874
3, 18.0, -2.795, 0.749
3, 18.0, -2.329, 0.624
3, 18.0, -1.863, 0.499
3, 18.0, -1.398, 0.374
3, 18.0, -0.932, 0.250
3, 18.0, -0.466, 0.125
3, 18.0, 0.000, 0.000
3, 18.0, 0.466, 0.125
3, 18.0, 0.932, 0.250
3, 18.0, 1.398, 0.374
3, 18.0, 1.863, 0.499
3, 18.0, 2.329, 0.624
3, 18.0, 2.795, 0.749
3, 18.0, 3.261, 0.874
3, 18.0, 3.727, 0.999
3, 18.0, 4.193, 1.123
3, 18.0, 4.659, 1.248
3, 18.0, 4.659, 18.000
3, 18.0, -4.659, 18.000
# --- Station 4 at 24" (beam=12.3") ---
